LV,Common_Expressions-Phrases
A1, a few
A1,good idea
A1,agree with
A1,a little
A1,a lot
A1,a lot of
A1,all day
A1,all night
A1,all over the world
A1,anything else
A1,anyone else
A1,a period of time
A1,around the world
A1,arrive at
A1,arrive in
A1,ask for
A1,at home
A1,at school
A1,at the beginning of
A1,at the end
A1,at the end of
A1,at the moment
A1,at the same time
A1,at the weekend
A1,at university
A1,at work
A1,away from
A1,bad for
A1,bad news
A1,bad thing
A1,bad things about
A1,because of
A1,begin with
A1,be going to do
A1,best friend
A1,black and white
A1,car park
A1,cell phone
A1,city centre
A1,come from
A1,come into
A1,came into
A1,differences between
A1,difficult for
A1,it is difficult for
A1,each other
A1,to do
A1,end in
A1,every day
A1,every week
A1,every year
A1,excuse me
A1,family member
A1,find out
A1,for a long time
A1,for a moment
A1,for example
A1,for lunch
A1,for many years
A1,for the first time
A1,get home
A1,get married
A1,get off
A1,getting off
A1,get on
A1, getting on
A1,get ready
A1,get there
A1,get to
A1,get up
A1,go back
A1,go home
A1,go into
A1,went into
A1,good at
A1,good for
A1,Good morning
A1,Good afternoon
A1,Good evening
A1,good news
A1,good thing
A1,good things about
A1,go out
A1,go to bed
A1,go to school
A1,go to work
A1,grow up
A1,Guess what
A1,half an hour
A1,hard work
A1,have fun
A1,have got
A1,have time for
A1,have time to
A1,he or she
A1, high school
A1,his or her
A1,How about
A1,How are you
A1,How long
A1,How many
A1,How much
A1,How often
A1,I guess
A1,important for
A1,I'm sorry
A1,in April
A1,in July
A1,in bed
A1,in class
A1,in fact
A1,in front of
A1,in my opinion
A1,in school
A1,in space
A1,in summer
A1,in winter
A1,in the centre
A1,in the country
A1,in the future
A1,in the
A1,in the north
A1,in the south
A1,in the east
A1,in the west
A1,in the past
A1,in the street
A1,in the summer
A1,in the winter
A1,in town
A1,it is important to do
A1,It takes
A1,It takes an hour to
A1,kind of
A1,know how
A1,last time
A1,last year
A1,last month
A1,last summer
A1,last week
A1,last weekend
A1,learn how to do
A1,listen to
A1, live with
A1,living room
A1,look at
A1,look for
A1,look like
A1,lots of
A1,millions of
A1,mobile phone
A1,more than
A1,next time
A1,next year
A1,next month
A1,next week
A1,No problem
A1,of course
A1,Oh no!
A1,Oh yes
A1,once a
A1,once a week
A1,once a year
A1,one day
A1,on holiday
A1,on Monday
A1,on Tuesday
A1,on television
A1,on the beach
A1,on the floor
A1,on the internet
A1,on the left
A1,on the right
A1,on the phone
A1,on TV
A1,out of
A1,over there
A1,pay for
A1,phone call
A1,phone number
A1,plan for
A1,play with
A1,post office
A1,pretty good
A1,really enjoy
A1,really good
A1,really like
A1,right now
A1,See you
A1,sit down
A1,someone else 
A1,something else 
A1,speak to
A1,spend time 
A1,stand up 
A1,stay in 
A1,such as 
A1,swimming pool 
A1,talk about
A1,thank you 
A1,that day 
A1,the 20th century 
A1,the 21st century 
A1,the next day 
A1,there is 
A1,there are 
A1,there was 
A1,there were 
A1,think about
A1,think of
A1,This is
A1,this kind of
A1,this morning 
A1,this time 
A1,this year 
A1,this summer 
A1,this weekend 
A1,thousands of
A1,too long 
A1,too far 
A1,too hard 
A1,too much 
A1,too many 
A1,town centre 
A1,TV show 
A1,wait for
A1,wake up 
A1,welcome to
A1,What about
A1,work as
A1,work for
A1,work hard 
A1,work together 
A1,work with
A1,would like 
A1,Would you like
A1,hours a day 
A1,times a
A1,years ago 
A1,weeks ago
A1,years later 
A1,years old 
A1,You're welcome
A2,a bit 
A2,able to do
A2,a couple of
A2,add to
A2,again and again 
A2,all about
A2,all kinds of
A2,all over
A2,all sorts of
A2,all the time 
A2,a long time ago 
A2,a long way 
A2,a number of
A2,apply for
A2,art gallery 
A2,as a result 
A2,as part of
A2,as soon as 
A2,as well 
A2,at first 
A2,at least 
A2,at the age of
A2,at the start of
A2,at the time 
A2,at the time of
A2,at the top 
A2,based on
A2,be allowed to do
A2,believe in
A2,belong to
A2,be made of
A2,by the end of
A2,care about
A2,carry on 
A2,check in 
A2,check out 
A2,climate change 
A2,close to
A2,come back 
A2,Come on
A2,connected to
A2,connected with
A2,credit card 
A2,deal with
A2,depend on
A2,do well 
A2,each one 
A2,end with
A2,even more
A2,everyone else 
A2,except for 
A2,fall in love 
A2,fall off 
A2,far away 
A2,feel good 
A2,feel like
A2,find it difficult to do
A2,first of all 
A2,focus on
A2,followed by
A2,for the rest of
A2,for this reason 
A2,get back 
A2,get better 
A2,get lost 
A2,get out 
A2,give up 
A2,go and
A2,go away 
A2,go down 
A2,go down
A2,go for
A2,go up 
A2,good luck 
A2,happen to
A2,happy with
A2,have a look 
A2,have got to 
A2,Have you ever
A2,health problems 
A2,hear about
A2,I don't care 
A2,if necessary 
A2,if you want to 
A2,I'm afraid
A2,I mean 
A2,in business 
A2,in danger 
A2,in history 
A2,in hospital 
A2,in love 
A2,in prison 
A2,in some cases 
A2,instead of 
A2,in the air
A2,in the end 
A2,in the middle 
A2,in the same way 
A2,in this way 
A2,it depends 
A2,it all depends 
A2,I think so 
A2,I don't think so 
A2,lead to
A2,less than
A2,Let me
A2,let me know 
A2,look after
A2,look back at
A2,make a mistake 
A2,make money 
A2,make sense 
A2,make sure 
A2,much better 
A2,not at all 
A2,I didn't enjoy it at all
A2,no way 
A2,Oh dear 
A2,Oh well 
A2,old friend 
A2,on earth 
A2,on the ground 
A2,on the other side 
A2,on the wall 
A2,on time 
A2,on top of
A2,one or two 
A2,ordinary people 
A2,pay attention 
A2,per hour 
A2,pick up 
A2,police officer 
A2,police station 
A2,public transport 
A2,quite a lot 
A2,reasons why 
A2,refer to
A2,report on
A2,respond to
A2,save money 
A2,science fiction 
A2,search for
A2,so that
A2,solution to
A2,sort of
A2,sound like
A2,start with
A2,such a
A2,take care of
A2,take off
A2,take part
A2,take place
A2,best thing
A2,first thing
A2,following
A2,important thing
A2,other side of
A2,the rest of
A2,these days
A2,they say
A2,throw away
A2,turn off
A2,turn on
A2,up and down
A2,Why not
A2,work out
A2,worried about
A2,would love to do
A2,write down
B1,a bit more
B1,a bit of
B1,access to
B1,after all
B1,a great deal
B1,aim to do
B1,a kind of
B1,a little bit
B1,a little more
B1,along with
B1,a lot more
B1,alternative to
B1,and so on
B1,apart from
B1,a range of
B1,as if
B1,as much as
B1,as soon as possible
B1,at last
B1,at risk
B1,at times
B1,attached to
B1,a variety of
B1,be about to do
B1,be going on
B1,What's going on
B1,be known as
B1,benefit from
B1,be supposed to do
B1,break up
B1,by the time
B1,can't afford
B1,care for
B1,caused by
B1,check out
B1,choose to do
B1,clean up
B1,click on
B1,come up with
B1,compared with
B1,concentrate on
B1,consist of
B1,decide on
B1,depending on
B1,developing countries
B1,due to
B1,economic growth
B1,end up
B1,even if
B1,even though
B1,exactly the same
B1,experience in
B1,fail to do
B1,fall asleep
B1,far more
B1,far too
B1,fed up
B1,for a while
B1,for free
B1,for instance
B1,for life
B1,for long
B1,for some time
B1,get on with
B1,get to know
B1,get used to
B1,global warming
B1,go ahead
B1,go wrong
B1,growth in
B1,have no idea
B1,have in common
B1,hear of
B1,heart disease
B1,high street
B1,higher education
B1,if I were you
B1,in addition
B1,in addition to
B1,in case
B1,just in case
B1,in charge of
B1,in contrast
B1,in favour of
B1,in general
B1,in order of
B1,in order to do
B1,in other words
B1,in particular
B1,in public
B1,in recent years
B1,in response to
B1,in terms of
B1,in the case of
B1,in the form of
B1,in the way
B1,in this case
B1,in time
B1,in touch
B1,I wonder if
B1,leave out
B1,likely to do
B1,look forward to
B1,look out
B1,make a difference
B1,make up
B1,manage to do
B1,mean to do
B1,more and more
B1,move on
B1,no longer
B1,not any longer
B1,no more than
B1,not even
B1,not necessarily
B1,not only
B1,but also
B1,on a regular basis
B1,on my own
B1,on their own
B1,on your own
B1,on the other hand
B1,on the street
B1,on the way
B1,or something
B1,or somebody
B1,or somewhere
B1,or two
B1,ought to
B1,out there
B1,over the years
B1,over time
B1,participate in
B1,point of view
B1,point out
B1,prepared to do
B1,primary school
B1,prime minister
B1,put up
B1,quite a
B1,raise money
B1,rather than
B1,reaction to
B1,relate to
B1,relating to
B1,related to
B1,respect for
B1,result in
B1,rise in
B1,run out
B1,run out of
B1,search engine
B1,secondary school
B1,set up
B1,slow down
B1,so far
B1,some kind of
B1,succeed in doing
B1,suffer from
B1,sum up
B1,sure to do
B1,take on
B1,take up
B1,tell the truth
B1,tend to do
B1,thanks to
B1,that's it
B1,the case
B1,the fact that
B1,those who
B1,to do with
B1,together with
B1,too bad
B1,try and
B1,turn out
B1,unable to do
B1,up to
B1,way of life
B1,well known
B1,work on
B1,wrong with
B1,you see
B2,a bit of a
B2,account for
B2,accused of
B2,act as
B2,aimed at
B2,aimed at doing
B2,all the way
B2,a means of
B2,appeal to
B2,apply to
B2,as a whole
B2,as far as I am concerned
B2,as follows
B2,as for
B2,as long as
B2,associated with
B2,as though
B2,at once
B2,at present
B2,at some point
B2,at the end of the day
B2,at this point
B2,at this stage
B2,awareness of
B2,back up
B2,be charged with
B2,be derived from
B2,be expected to do
B2,be known to do
B2,be made up of
B2,be surrounded by
B2,be to blame
B2,both sides
B2,bound to do
B2,bring up
B2,by now
B2,call for
B2,case study
B2,come across
B2,come true
B2,concerned about
B2,concerned with
B2,confidence in
B2,contribute to
B2,control over
B2,cope with
B2,decline in
B2,dependent on
B2,despite the fact that
B2,draw attention to
B2,engage in
B2,engaged in
B2,ever since
B2,exposure to
B2,far from
B2,figure out
B2,find yourself doing
B2,get in
B2,get over
B2,get rid of
B2,go off
B2,went off
B2,go on to do
B2,go through
B2,had better
B2,hang on
B2,human being
B2,human rights
B2,if only
B2,I have to say
B2,in action
B2,in advance
B2,in an attempt to do
B2,in a way that
B2,in part
B2,in place
B2,in relation to
B2,in spite of
B2,in the first place
B2,in the near future
B2,in turn
B2,investment in
B2,I would say
B2,loads of
B2,mental health
B2,more or less
B2,no doubt
B2,no matter
B2,no matter how
B2,no matter what
B2,nothing but
B2,on board
B2,once again
B2,one another
B2,on the basis of
B2,on the one hand
B2,opposed to
B2,or so
B2,other than
B2,potential for
B2,pretty much
B2,prior to
B2,prove to be
B2,put forward
B2,put together
B2,quality of life
B2,ranging from
B2,regarded as
B2,relevant to
B2,rely on
B2,role model
B2,set out
B2,short of
B2,so as to do
B2,something like
B2,sort out
B2,stick to
B2,subject to
B2,take advantage of
B2,take into account
B2,take over
B2,that is
B2,the vast majority of
B2,turn into
B2,when it comes to
B2,when it comes to doing
B2,whether or not
B2,would rather
C1,above all
C1,all but
C1,all the more
C1,as far as
C1,as of
C1,as opposed to
C1,as such
C1,as to
C1,as to how
C1,as to whether
C1,at the expense of
C1,at the hands of
C1,back and forth
C1,bear in mind
C1,be attributed to
C1,be entitled to
C1,be found to do
C1,be meant to do
C1,be reported to be
C1,be said to be
C1,bring about
C1,by means of
C1,by no means
C1,call on
C1,consistent with
C1,dedicated to
C1,dispose of
C1,follow up
C1,for that matter
C1,for the benefit of
C1,for the sake of
C1,get away with
C1,given that
C1,have in mind
C1,have in mind for
C1,have nothing to do with
C1,in accordance with
C1,in any case
C1,in a position to do
C1,in conjunction with
C1,in connection with
C1,in effect
C1,in full
C1,in line with
C1,in practice
C1,in respect of
C1,in such a way (that)
C1,in the absence of
C1,in the course of
C1,in the event of
C1,in the face of
C1,in the hands of
C1,in the light of
C1,in light of
C1,in the meantime
C1,in the midst of
C1,in the presence of
C1,in the wake of
C1,involvement in
C1,let alone
C1,little more than
C1,live on
C1,may well
C1,nothing like
C1,not to mention
C1,on behalf of
C1,on the part of
C1,over the course of
C1,put it
C1,seek to do
C1,set to do
C1,the extent to which
C1,to date
C1,work to date
C1,up against
C1,with regard to
C1,with respect to
C1,with the exception of
